Locus_tag	Peptidase type
TVAG_202090	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_181310	"Clan CA, family C1, cathepsin H-like cysteine peptidase"
TVAG_164120	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_159150	"Clan CA, family C1, cathepsin B-like cysteine peptidase"
TVAG_151460	"Clan CA, family C1, cathepsin L or K-like cysteine peptidase"
TVAG_146680	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_135480	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_126090	"Clan CA, family C1, cathepsin L or H-like cysteine peptidase"
TVAG_096740	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_090100	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_057000	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_053440	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_052570	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_047960	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_043620	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_040870	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_034140	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_028720	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_003650	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_518810	"Clan CA, family C1, papain-like cysteine peptidase"
TVAG_455660	"Clan CA, family C12, ubiquitin hydrolase-like cysteine peptidase"
TVAG_204450	"Clan CA, family C12, ubiquitin hydrolase-like cysteine peptidase"
TVAG_498610	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_477190	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_475320	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_464680	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_461400	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_456490	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_457330	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_451900	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_452050	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_451440	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_450920	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_451440	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_450500	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_448510	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_443110	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_435960	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_432280	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_431770	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_430950	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_426350	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_424810	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_422470	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_417870	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_414390	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_404600	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_402720	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_402340	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_401430	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_399970	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_399440	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_399360	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_394540	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_391940	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_389710	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_388310	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_387930	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_378670	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_378280	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_373380	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_365420	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_357350	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_353800	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_350130	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_342140	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_341940	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_338060	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_325820	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_310100	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_296140	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_280960	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_278470	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_274820	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_268770	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_259940	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_229580	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_224410	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_219230	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_199430	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_198630	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_197680	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_195780	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_193260	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_193260	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_189130	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_181540	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_177740	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_172970	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_170300	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_170060	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_166180	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_159650	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_158800	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_159060	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_158170	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_155720	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_153320	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_151190	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_145910	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_143290	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_138870	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_136200	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_126000	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_126250	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_122320	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_120850	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_119030	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_118620	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_110780	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_107900	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_099750	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_092430	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_086410	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_084190	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_077340	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_073830	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_069290	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_068960	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_062860	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_056730	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_053780	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_051330	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_050730	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_043710	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_035430	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_031880	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_029150	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_027940	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_025610	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_025810	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_019670	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_014330	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_007170	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_006150	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_579350	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_577470	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_511500	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_511360	"Clan CA, family C19, ubiquitin hydrolase-like cysteine peptidase"
TVAG_423090	"Clan CA, family C2, calpain-like cysteine peptidase"
TVAG_299900	"Clan CA, family C2, calpain-like cysteine peptidase"
TVAG_256510	"Clan CA, family C2, calpain-like cysteine peptidase"
TVAG_183710	"Clan CA, family C2, calpain-like cysteine peptidase"
TVAG_161170	"Clan CA, family C2, calpain-like cysteine peptidase"
TVAG_023460	"Clan CA, family C2, calpain-like cysteine peptidase"
TVAG_457240	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_411960	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_393610	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_324990	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_252970	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_209010	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_119910	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_051010	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_042760	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_456380	"Clan CA, family C40, NlpC/P60 superfamily cysteine peptidase"
TVAG_397150	"Clan CA, family C54, ATG4-like cysteine peptidase"
TVAG_258880	"Clan CA, family C54, ATG4-like cysteine peptidase"
TVAG_122030	"Clan CA, family C54, ATG4-like cysteine peptidase"
TVAG_023970	"Clan CA, family C54, ATG4-like cysteine peptidase"
TVAG_426660	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_385340	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_328450	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_305110	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_277470	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_185540	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_068410	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_060430	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_050390	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_035520	"Clan CD, family C13, legumain-like cysteine peptidase"
TVAG_350100	"Clan CD, family C14, metacaspase-like cysteine peptidase"
TVAG_261210	"Clan CD, family C14, metacaspase-like cysteine peptidase"
TVAG_253790	"Clan CD, family C14, metacaspase-like cysteine peptidase"
TVAG_188730	"Clan CD, family C14, metacaspase-like cysteine peptidase"
TVAG_160290	"Clan CD, family C14, metacaspase-like cysteine peptidase"
TVAG_151930	"Clan CD, family C14, metacaspase-like cysteine peptidase"
TVAG_151940	"Clan CD, family C14, metacaspase-like cysteine peptidase"
TVAG_079050	"Clan CD, family C14, metacaspase-like cysteine peptidase"
TVAG_542320	"Clan CD, family C14, metacaspase-like cysteine peptidase"
TVAG_249880	"Clan CD, family C50, separase-like cysteine peptidase"
TVAG_387880	"Clan CE, family C48, Ulp1-like cysteine peptidase"
TVAG_380250	"Clan CE, family C48, Ulp1-like cysteine peptidase"
TVAG_327550	"Clan CE, family C48, Ulp1-like cysteine peptidase"
TVAG_246590	"Clan CE, family C48, Ulp1-like cysteine peptidase"
TVAG_189720	"Clan CE, family C48, Ulp1-like cysteine peptidase"
TVAG_094560	"Clan CE, family C48, Ulp1-like cysteine peptidase"
TVAG_045040	"Clan CE, family C48, Ulp1-like cysteine peptidase"
TVAG_011460	"Clan CE, family C48, Ulp1-like cysteine peptidase"
TVAG_008810	"Clan CE, family C48, Ulp1-like cysteine peptidase"
TVAG_108550	"Clan CF, family C15, pyroglutamyl peptidase I-like cysteine peptidase"
TVAG_272260	"Clan IH, family I25, phytocystatin-like peptidase inhibitor"
TVAG_127040	"Clan IH, family I25, phytocystatin-like peptidase inhibitor"
TVAG_034880	"Clan IH, family I25, phytocystatin-like peptidase inhibitor"
TVAG_106750	"Clan M-, family M49, dipeptidylpeptidase III-like metallopeptidase"
TVAG_032280	"Clan M-, family M49, dipeptidylpeptidase III-like metallopeptidase"
TVAG_336080	"Clan MA, family M1, aminopeptidase N-like metallopeptidase"
TVAG_311790	"Clan MA, family M1, aminopeptidase N-like metallopeptidase"
TVAG_008880	"Clan MA, family M1, aminopeptidase N-like metallopeptidase"
TVAG_477180	"Clan MA, family M3, oligopeptidase A-like metallopeptidase"
TVAG_243780	"Clan MA, family M41, FtsH endopeptidase-like metallopeptidase"
TVAG_381360	"Clan MA, family M48, Ste24 endopeptidase-like metallopeptidase"
TVAG_077490	"Clan MA, family M48, Ste24 endopeptidase-like metallopeptidase"
TVAG_024200	"Clan MA, family M48, Ste24 endopeptidase-like metallopeptidase"
TVAG_000880	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_018910	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_020900	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_025060	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_030520	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_032450	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_032440	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_053300	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_064340	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_064330	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_064350	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_071360	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_074250	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_104240	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_106650	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_156760	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_160010	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_190000	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_194330	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_195440	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_206210	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_216430	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_216800	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_219460	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_226600	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_226590	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_256590	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_271800	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_271780	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_271790	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_295740	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_305870	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_355630	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_367130	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_369280	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_369300	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_387200	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_388230	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_391100	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_390980	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_399920	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_400860	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_407980	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_424820	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_437440	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_453650	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_454520	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_493860	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_550840	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_562500	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_579240	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_595020	"Clan MA, family M8, leishmanolysin-like metallopeptidase"
TVAG_483870	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_457210	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_453960	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_253610	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_247150	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_075740	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_045700	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_040480	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_027310	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_004620	"Clan MC, family M14, Zinc carboxypeptidase-like metallopeptidase"
TVAG_484640	"Clan ME, family M16, insulinase-like metallopeptidase"
TVAG_371040	"Clan ME, family M16, insulinase-like metallopeptidase"
TVAG_317610	"Clan ME, family M16, insulinase-like metallopeptidase"
TVAG_233350	"Clan ME, family M16, insulinase-like metallopeptidase"
TVAG_151080	"Clan ME, family M16, insulinase-like metallopeptidase"
TVAG_119710	"Clan ME, family M16, insulinase-like metallopeptidase"
TVAG_087590	"Clan ME, family M16, insulinase-like metallopeptidase"
TVAG_016860	"Clan ME, family M16, insulinase-like metallopeptidase"
TVAG_476160	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_437930	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_410220	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_403460	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_386080	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_321430	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_317020	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_255940	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_227590	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_212800	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_190580	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_040850	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_013490	"Clan MG, family M24, aminopeptidase P-like metallopeptidase"
TVAG_490070	"Clan MH, family M18, aspartyl aminopeptidase-like metallopeptidase"
TVAG_467260	"Clan MH, family M18, aspartyl aminopeptidase-like metallopeptidase"
TVAG_392410	"Clan MH, family M18, aspartyl aminopeptidase-like metallopeptidase"
TVAG_161610	"Clan MH, family M18, aspartyl aminopeptidase-like metallopeptidase"
TVAG_115460	"Clan MH, family M18, aspartyl aminopeptidase-like metallopeptidase"
TVAG_025960	"Clan MH, family M18, aspartyl aminopeptidase-like metallopeptidase"
TVAG_475290	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_433790	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_385820	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_379940	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_370490	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_224980	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_090090	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_071630	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_056190	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_050870	"Clan MH, family M20, petpidase T-like metallopeptidase"
TVAG_470700	"Clan MH, family M28 aminopeptidase S-like metallopeptidase"
TVAG_185400	"Clan MK, family M22, sialogylycoprotein endopeptidase-like metallopeptidase"
TVAG_472140	"Clan MP, family M67, Poh1-like metallopeptidase"
TVAG_469140	"Clan MP, family M67, Poh1-like metallopeptidase"
TVAG_454400	"Clan MP, family M67, Poh1-like metallopeptidase"
TVAG_159580	"Clan MP, family M67, Poh1-like metallopeptidase"
TVAG_124160	"Clan MP, family M67, Poh1-like metallopeptidase"
TVAG_077600	"Clan MP, family M67, Poh1-like metallopeptidase"
TVAG_015750	"Clan MP, family M67, Poh1-like metallopeptidase"
TVAG_350190	"Clan PB, family C69, PipD-like cysteine peptidase"
TVAG_254690	"Clan PC(S), family S51, peptidase E-like serine peptidase"
TVAG_237460	"Clan PC, family C26, gamma-glutamyl hydrolase-like cysteine peptidase"
TVAG_476950	"Clan S-, family S54, Rhomboid-like serine peptidase"
TVAG_378960	"Clan S-, family S54, Rhomboid-like serine peptidase"
TVAG_359500	"Clan S-, family S54, Rhomboid-like serine peptidase"
TVAG_282180	"Clan S-, family S54, Rhomboid-like serine peptidase"
TVAG_233140	"Clan S-, family S54, Rhomboid-like serine peptidase"
TVAG_183030	"Clan S-, family S54, Rhomboid-like serine peptidase"
TVAG_161010	"Clan S-, family S54, Rhomboid-like serine peptidase"
TVAG_112900	"Clan S-, family S54, Rhomboid-like serine peptidase"
TVAG_037580	"Clan S-, family S54, Rhomboid-like serine peptidase"
TVAG_482670	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_465250	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_418990	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_379760	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_321410	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_282560	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_276930	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_270490	"Clan SB, family S8, subtilisin-like serine peptidase"
